op,a,b,max_ab,abs_delta,stable_f64,stable_f32,correction,upper_bound
logaddexp,0.0,0.0,0,0,0.693147180559945,0.6931471824646,0.693147180559945,0.693147180559945
logaddexp,5.0,3.0,5,2,5.12692801104297,5.12692785263062,0.126928011042972,5.69314718055995
logaddexp,88.7,0.0,88.7,88.7,88.7,88.6999969482422,0,89.39314718056
logaddexp,89.0,0.0,89,89,89,89,0,89.6931471805599
logaddexp,90.0,89.0,90,1,90.3132616875182,90.3132629394531,0.313261687518221,90.6931471805599
logaddexp,100.0,100.0,100,0,100.69314718056,100.693145751953,0.693147180559947,100.69314718056
logaddexp,200.0,199.0,200,1,200.313261687518,200.313262939453,0.313261687518235,200.69314718056
logaddexp,-100.0,-100.0,-100,0,-99.3068528194401,-99.3068542480469,0.693147180559947,-99.3068528194401
logaddexp,-100.0,-101.0,-100,1,-99.6867383124818,-99.6867370605469,0.313261687518221,-99.3068528194401
logaddexp,1000.0,999.0,1000,1,1000.31326168752,1000.31323242188,0.313261687518207,1000.69314718056
logaddexp,-1000.0,-1000.0,-1000,0,-999.30685281944,-999.306823730469,0.69314718055989,-999.30685281944
logaddexp,10000.0,9999.75,10000,0.25,10000.5759394199,10000.576171875,0.575939419879433,10000.6931471806
logaddexp,-10000.0,-9999.75,-9999.75,0.25,-9999.17406058012,-9999.173828125,0.575939419879433,-9999.05685281944
logaddexp,10000.0,9999.999,10000,0.00100000000020373,10000.6926473056,10000.6923828125,0.692647305559149,10000.6931471806
logaddexp2,0.0,0.0,0,0,1,1,1,1
logaddexp2,5.0,3.0,5,2,5.32192809488736,5.32192802429199,0.321928094887363,6
logaddexp2,127.0,0.0,127,127,127,127,0,128
logaddexp2,128.0,0.0,128,128,128,128,0,129
logaddexp2,129.0,128.0,129,1,129.584962500721,129.5849609375,0.584962500721161,130
logaddexp2,127.0,127.0,127,0,128,128,1,128
logaddexp2,200.0,199.0,200,1,200.584962500721,200.5849609375,0.584962500721161,201
logaddexp2,-150.0,-150.0,-150,0,-149,-149,1,-149
logaddexp2,-150.0,-151.0,-150,1,-149.415037499279,-149.4150390625,0.584962500721161,-149
logaddexp2,1000.0,999.0,1000,1,1000.58496250072,1000.5849609375,0.58496250072119,1001
logaddexp2,-1000.0,-1000.0,-1000,0,-999,-999,1,-999
logaddexp2,10000.0,9999.75,10000,0.25,10000.8804084505,10000.880859375,0.880408450477262,10001
logaddexp2,-10000.0,-9999.75,-9999.75,0.25,-9998.86959154952,-9998.869140625,0.880408450477262,-9998.75
logaddexp2,10000.0,9999.999,10000,0.00100000000020373,10000.9995000866,10000.9990234375,0.99950008664382,10001
