n,x,true_polygamma_f64,raw_hurwitz_sum_abs,true_result_normal_fp32,raw_sum_normal_fp32
7,198523,5.924672475286861e-35,1.1755302530331073e-38,true,true
7,198524,5.9244635726601482e-35,1.1754888040992358e-38,true,false
7,671012,1.1755003243654503e-38,2.3323419134235126e-42,true,false
7,671013,1.1754880616050961e-38,2.3323175825497938e-42,false,false
8,42495,-4.7398952817949417e-34,1.1755692663181899e-38,true,true
8,42496,-4.7390030452216486e-34,1.1753479774855279e-38,true,false
8,159965,-1.1755514280032239e-38,2.9155541369127577e-43,true,false
8,159966,-1.1754926390414762e-38,2.9154083309560421e-43,false,false
9,12835,4.2668750447714888e-33,1.1758363769762701e-38,true,true
9,12836,4.2638841281738618e-33,1.1750121605417388e-38,true,false
9,53229,1.1754995658308297e-38,3.2393616783256991e-44,true,false
9,53230,1.1753008282677449e-38,3.2388140108789266e-44,false,false
10,4931,-4.2741850371414314e-32,1.1778508149089042e-38,true,true
10,4932,-4.2655258324667831e-32,1.175464570234453e-38,true,false
10,22333,-1.1759520195073431e-38,3.2406085193654738e-45,true,false
10,22334,-1.1754255838381249e-38,3.23915780378672e-45,false,false
11,2257,4.6986581304111667e-31,1.177112927491975e-38,true,true
11,2258,4.6758138748982638e-31,1.1713899598410353e-38,true,false
11,11079,1.1761763188207666e-38,2.94656966194877e-46,true,false
11,11080,1.1750091089016777e-38,2.9436455550086121e-46,false,false
